game_id;title;cycle;release_date;depiction ;vote_average;vote_count;country;producer;genres
31;Little Nightmares II;Little Nightmares;11.02.2021;W Little Nightmares II powraca bohaterka „jedynki” – Szóstka – jednak tym razem nie jest grywaln¹ postaci¹. Pierwsze skrzypce gra ch³opiec imieniem Mono, który wraz z dziewczynk¹ musi zmierzyæ siê z groz¹ czyhaj¹c¹ w nowym miejscu, wypaczonym przez transmisjê nadawan¹ z odleg³ej, skrywaj¹cej wiele mrocznych sekretów Wie¿y Sygna³owej. Bohater udaje siê w naje¿on¹ licznymi przeszkodami i utrudnion¹ przez straszliwych mieszkañców gnij¹cego od wewn¹trz œwiata podró¿ do tajemniczej wie¿y, by odkryæ Ÿród³o z³a rozprzestrzeniaj¹cego siê poprzez ekrany telewizorów, a tak¿e uratowaæ Szóstkê od przera¿aj¹cego losu. Mono jest jej jedyn¹ nadziej¹. ;7.3;460;Szwecja;Tarsier Studios;survival horror, platformowa, przygodowa
32;Layers of Fear: Legacy;;15.06.2023;W grze wcielamy siê w postaæ malarza ¿yj¹cego w XIX wieku i pragn¹cego ukoñczyæ swoje wielkie dzie³o. Bohater boryka siê jednak z problemami psychicznymi, przez co przemierzanie jego posiad³oœci – w celu odnalezienia odpowiednich sk³adników pozwalaj¹cych stworzyæ malarskie magnum opus – szybko staje siê chaotyczn¹ i niezrozumia³¹ podró¿¹ przez umys³ artysty, podczas której poznajemy historiê protagonisty, jego rodziny, a tak¿e zg³êbiamy szczegó³y wydarzeñ maj¹cych miejsce w przesz³oœci. Opowieœæ nie jest zatem liniowa, zaœ pojêcie o jej przebiegu daje nam obserwacja zachodz¹cych na terenie domu zjawisk, lektura porozrzucanych po rezydencji notatek czy s³uchanie wspomnieñ bohatera. ;7.2;1313;Polska;Bloober Team;horror, psychologiczna, przygodowa
33;The Suicide of Rachel Foster;;19.02.2020;Akcja The Suicide of Rachel Foster ma miejsce na pocz¹tku 90. XX wieku. G³ówna bohaterka – Nicole – powraca do rodzinnego hotelu. Obiekt ten jest naznaczony ogromn¹ tragedi¹. Dziesiêæ lat wczeœniej protagonistka opuœci³a go wraz z matk¹, gdy odkry³y romans ojca z tytu³ow¹ Rachel, który zaowocowa³ ci¹¿¹ oraz samobójstwem dziewczyny. Teraz Nicole chce spe³niæ ostatni¹ proœbê matki i sprzedaæ hotel, by zadoœæuczyniæ rodzinie Rachel. Bohaterka udaje siê do obiektu wraz z prawnikiem, by dokonaæ wyceny. Niestety nag³e za³amanie pogody sprawia, ¿e kobieta utknê³a w kompleksie. Z pomoc¹ pracownika Federalnej Agencji Zarz¹dzania Kryzysowego – Irvinga – zaczyna ona odkrywaæ sekrety opuszczonego budynku. ;6.8;0;W³ochy;One O One Games;thriller, przygodowa, dramat
34;Cyberpunk 2077;;10.12.2020;Akcja Cyberpunka 2077 toczy siê w roku 2077, w fikcyjnej metropolii zwanej Night City po³o¿onej na pó³nocy kalifornijskiego wybrze¿a. Mamy tu do czynienia z dystopijnym retrofuturyzmem rodem z lat 90. XX wieku, w którym zdewastowanym œwiatem rz¹dz¹ brutalne megakorporacje, a ulice s¹ królestwem gangów i tytu³owych cyberpunków – niezale¿nych buntowników ¿yj¹cych poza systemem. Ponadto dziêki postêpowi technologicznemu ludzie powszechnie modyfikuj¹ swoje cia³a wszczepami.;7.2;14238;Polska;CD Projekt Red;akcja, sciencie fiction, strzelanka, bijatyka, przygodowa
35;Assassin's Creed: Valhalla;Assassin's Creed;10.11.2020;Po opuszczeniu pogr¹¿onej w konflikcie Norwegii i przebyciu Morza Pó³nocnego bohater i jego œwita przybijaj¹ do wybrze¿y Anglii. Niestety, w tej bogatej w zasoby krainie toczy siê krwawa walka o w³adzê, a klan Eivora przyci¹ga uwagê Alfreda Wielkiego z Wessex, który nie tylko uznaje siê za prawowitego w³adcê Anglii, lecz tak¿e potêpia pogañskich wikingów. Chc¹c uczyniæ Angliê swym nowym domem, a tak¿e zapewniæ sobie miejsce w tytu³owej Valhalli, Eivor i jego wojowie musz¹ stan¹æ do walki. Ich dalsze losy zale¿¹ od zawieranych przez nas sojuszy czy wybieranych kwestii dialogowych.;6.8;5921;Kanada;Ubisoft;akcja, przygodowa
36;WiedŸmin 3: Dziki Gon;WiedŸmin;19.05.2015;G³ówna oœ fabularna obraca siê wokó³ kilku oddzielnych w¹tków. Wœród nich znalaz³o siê poszukiwanie utraconej mi³oœci Geralta oraz inwazja Nilfgaardu na Królestwa Pó³nocy. Spróbujemy te¿ powstrzymaæ tytu³owy Dziki Gon, przeœladuj¹cy wiedŸmina zarówno w powieœciach, jak i obecny w pierwszej i w nik³ym stopniu w drugiej czêœci serii.;9.5;43308;Polska;CD Projekt Red;fabularna, przygodowa, akcja
37;Diablo II: Resurrected;;23.09.2021;Wyrusz w poœcig za tajemniczym Mrocznym Wêdrowcem i stañ do walki ze s³ugami piekie³, aby poznaæ losy demonicznych braci wchodz¹cych w sk³ad Mrocznej Trójcy: Diablo, Mefista i Baala.;7.4;1116;USA;Blizzard Entertainment;hack and slash
38;Counter-Strike: Global Offensive;Counter-Strike;21.08.2012;Zale¿nie od wybranego wariantu zabawy celem mo¿e byæ np. ucieczka, odbicie zak³adników, umiejscowienie b¹dŸ zdezaktywowanie ³adunku wybuchowego. Starcia toczone s¹ w rundach, a wygrywa zespó³, który jako pierwszy zdo³a osi¹gn¹æ wyznaczone zadania lub wyeliminuje wszystkich cz³onków wrogiej dru¿yny. Co istotne gracze zazwyczaj rozpoczynaj¹ grê posiadaj¹c jedynie podstawowe uzbrojenie (pistolet, dwa magazynki i nó¿) oraz kwot¹ 800 wirtualnych dolarów na zakup ekwipunku.;7.6;7991;USA;Valve Corporation;akcja, strzelanka
39;The Elder Scrolls V: Skyrim;The Elder Scrolls;11.11.2011;Ze wzglêdu na brak prawowitego dziedzica tronu, Ostrza – sekretna grupa wojowników i mêdrców chroni¹ca cesarzy reprezentuj¹cych Smocze Dzieciêta – rozpadli siê, zaœ ochron¹ cesarza zajê³a siê elitarna grupa Penitus Oculatus. Po zamordowaniu Najwy¿szego Króla w prowincji Skyrim, krainie Nordów, rozpoczê³a siê wojna domowa. Gromow³adni, zjednoczeni pod sztandarem Ulfrica Gromow³adnego – rebelianta, jarla Wichrowego Tronu, królobójcy i pretendenta do tronu – opowiadaj¹ siê za suwerennoœci¹ Skyrim, cesarscy z kolei za nieod³¹czaniem siê od Cesarstwa.;9.2;42585;USA;Bethesda Game Studios;fabularna
40;God of War;God of War;20.04.2018;Po wype³nionych gniewem i szaleñstwem greckich przygodach, które zwieñczy³a destrukcja Olimpu i œmieræ wielu helleñskich bogów oraz herosów, protagonista ucieka na dalek¹ Pó³noc, szukaj¹c wytchnienia. Na miejscu znajduje now¹ mi³oœæ i zak³ada rodzinê. Po œmierci ¿ony zostaje sam z m³odym synem o imieniu Atreus. Niestety, spokój nie trwa zbyt d³ugo, o czym Kratos przekonuje siê, kiedy wyrusza ze swoj¹ latoroœl¹ rozsypaæ prochy zmar³ej kobiety. Droga do celu usiana jest ró¿nymi trudnoœciami, a na nieproszonych goœci czeka armia bestii znanych z mitologii nordyckiej.;9.0;4233;USA;Santa Monica Studio;przygodowa, hack and slash, fabularna
41;Grand Theft Auto: San Andreas;Grand Theft Auto;25.10.2004;Gracz ma okazjê wcieliæ siê w drobnego rzezimieszka, a nastêpnie tworz¹c w³asny, kryminalny ¿yciorys samemu stan¹æ na czele mafii. Tym razem, przychodzi nam wcieliæ siê w niejakiego Carla Johnsona, który przed kilku laty uciek³ z rodzinnego miasta w poszukiwaniu lepszego jutra. Po piêciu latach Carl wraca do Los Santos, w którym zastaje gangsterski œwiat morderstw, narkotyków i korupcji.;8.9;61266;USA;Rockstar North;akcja, strzelanka, przygodowa
42;Dying Light;Dying Light;27.01.2015;Wcielamy siê w niejakiego Kyle’a Crane’a, trafiaj¹c do miasta Harran, wzorowanego na Rio de Janeiro, pe³nym charakterystycznych faweli. Ludnoœæ metropolii zosta³a zainfekowana tajemniczym wirusem, który b³yskawicznie zmieni³ wszystkich w zombie. Gdy jest jasno, swobodnie eksplorujemy otoczenie, poszukujemy surowców i broni, a gdy nastaje noc, desperacko bronimy siê przed agresywn¹ hord¹.;7.9;7345;Polska;Techland;survival horror, akcja, fabularna, przygodowa
43;Divinity: Original Sin II - Definitive Edition ;Divinity;14.09.2017;Osadzone w realiach fantasy klasyczne RPG z widokiem w rzucie izometrycznym, turow¹ walk¹ i du¿ymi obszarami do eksploracji. Na graczy czeka kilka wariantów rozgrywki: tradycyjna kampania fabularna, arenowe starcia PvP oraz sandboksowy tryb mistrza gry (tylko na PC).;8.6;2610;Belgia;Larian Studios;przygodowa, akcja, strategiczna
44;Divinity: Original Sin - Enhanced Edition;Divinity;27.10.2015;Akcja gry toczy siê przed wydarzeniami ukazanymi w Divine Divinity, dziêki czemu gracze dok³adniej zg³êbi¹ mitologiê cyklu, a przy okazji ponownie spotkaj¹ wielu starych znajomych - miêdzy innymi uwielbianego przez fanów maga Arhu przed jego przemian¹ w kota czy chocia¿by ekscentrycznego Zandalora. Original Sin przy okazji przygotowuje równie¿ grunt pod trzeci¹ (pod wzglêdem numeracji) czêœæ serii, dopowiadaj¹c niewyjaœnione dot¹d w¹tki z poprzednich ods³on. W grze wcielamy siê w dwoje m³odych £owców ród³a, którzy nie tylko musz¹ rozwik³aæ zagadkê tajemniczej œmierci w jednym z miast Rivellonu, ale tak¿e zg³êbiæ arkana zakazanej magii i przeciwdzia³aæ jej skutkom. Oboje szybko odkrywaj¹, ¿e ³¹czy ich swego rodzaju niewyjaœniona wiêŸ, która sprawia, ¿e w parze s¹ wyj¹tkowi i stworzeni do czegoœ wiêkszego.;8.4;714;Belgia;Larian Studios;fabularna, przygodowa, akcja, strategiczna
45;Baldur's Gate 3;Baldur’s Gate;03.08.2023;Akcja gry Baldur's Gate 3 toczy siê oko³o stu lat po wydarzeniach przedstawionych w Tronie Bhaala, czyli dodatku do gry Baldur's Gate II: Cienie Amn. Zawi¹zanie akcji nastêpuje w momencie, w którym nad tytu³owym miastem – Wrotami Baldura – pojawia siê Nautiloid, statek Illithidów (£upie¿ców Umys³u). Nim tajemniczym jeŸdŸcom na smokach udaje siê przegoniæ agresorów, ci obracaj¹ w ruinê czêœæ miasta i porywaj¹ na pok³ad swojego statku wielu mieszkañców, by poddaæ ich straszliwemu procesowi zwanemu ceramorfoz¹. Polega on na tym, ¿e mózg nosiciela zostaje zainfekowany kijank¹ £upie¿cy Umys³u, który stopniowo go wy¿era, a w konsekwencji w pe³ni go zastêpuje, transformuj¹c ofiarê w Illithida. ;8.8;978;Belgia;Larian Studios;fabularna, przygodowa, strategiczna, RPG
46;Hellblade: Senua's Sacrifice;;08.08.2017;G³ówn¹ bohaterk¹ Hellblade: Senua’s Sacrifice jest tytu³owa Senua – celtycka wojowniczka, która udaje siê w niebezpieczn¹ podró¿ do wikiñskiego piek³a, by stoczyæ walkê o duszê swojego zmar³ego ukochanego. W toku przygody kobieta musi stawiæ czo³a fantastycznym, przera¿aj¹cym istotom zamieszkuj¹cym tê upiorn¹ krainê oraz w³asnym s³aboœciom – nastêpstwem tych ostatnich s¹ doœwiadczane przez ni¹ wizje i halucynacje. ;8.0;1967;Wielka Brytania;Ninja Theory;przygodowa, akcja, dramat, logiczna
